trial_id,scenario,git_commit,git_dirty,uav_count,agent_ids,sysids,requests,accepted,rejected,availability,rejection_age,rejection_clock,rejection_uncertainty,rejection_frame,rejection_session,rejection_health,other_rejections,certificates,persisted_replays,replay_agreements,replay_disagreements,frames_received,frames_delayed,frames_dropped,reorder_events,restart_events,old_epoch_frames_injected,old_epoch_frames_accepted,e2_requests_before_new_clock,e2_accepts_before_new_clock,e2_clock_reestablishments,mean_speed_mps,max_speed_mps,mean_age_ms,max_age_ms,mean_propagated_uncertainty_m,max_propagated_uncertainty_m,sitl_truth_available
s0-trial-0,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,4,0,0,0,0,0,0,0,0,0,0.01276142346391392,0.014142135307629587,403.80000000000001,561,3.7500687242801467,5.0931861130440641,false
s0-trial-1,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.20620404248011659,0.24839484284018506,414.28333333333336,611,3.8396383635435596,5.5203863003099398,false
s0-trial-2,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,5,0,0,0,0,0,0,0,0,0,1.3906910619375572,2.0865521452051077,435.14999999999998,602,4.0179232416958497,5.4434902666020824,false
s0-trial-3,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,2.5412482823725679,2.7721833290891795,401.39999999999998,651,3.729563115291386,5.8621464501226415,false
s0-trial-4,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,5,0,0,0,0,0,0,0,0,0,3.0348712334396648,3.0719701005994366,455.08333333333331,797,4.1882337163525163,7.1095709969390013,false
s0-trial-5,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,2.9690774000716109,3.0782626144397347,436.48333333333335,885,4.0293152466896096,7.8614433265269437,false
s0-trial-6,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,5,0,0,0,0,0,0,0,0,0,2.9674890667189966,3.0923293232982441,410.66666666666669,708,3.8087375499979945,6.3491546636057405,false
s0-trial-7,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,2.975980311517175,3.1282264043966368,454.13333333333333,872,4.1801169127944631,7.7503712778378153,false
s0-trial-8,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,1.8662214155535208,2.1896118717626489,392.71666666666664,572,3.6553726827695452,5.1871701542425557,false
s0-trial-9,normal_moving_flight,e375c24d23ee5ee10d7740435029fa0196e96e18,true,3,"sitl-agent-1;sitl-agent-2;sitl-agent-3","1;2;3",20,20,0,1,0,0,0,0,0,0,0,20,20,20,0,6,0,0,0,0,0,0,0,0,0,0.95784620057812553,1.2509996360538913,400.64999999999998,564,3.7231551124823969,5.1188181242800157,false
